End,Frequency %,Win %,Draw %,Loss %,Win + Draw %
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.004398126015871498,0.3115942028985507,0.07065217391304347,0.6177536231884058,0.3822463768115942
4,0.020285559486247887,0.3397486252945797,0.07659073055773763,0.5836606441476826,0.41633935585231735
5,0.1322226471619339,0.4128954504368786,0.07954203073214823,0.5075625188309731,0.4924374811690268
6,0.2843563756891991,0.4592451455630586,0.07999663761943455,0.4607582168175068,0.5392417831824932
7,0.31683239315422124,0.4904564315352697,0.07941657236263046,0.4301269961020998,0.5698730038979002
8,0.24190489849252636,0.5466881855011363,0.07799479595533744,0.3753170185435262,0.6246829814564737
