End,Frequency %,Win %,Draw %,Loss %,Win + Draw %
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.00803207457203683,0.26672240802675584,0.06939799331103678,0.6638795986622074,0.33612040133779264
4,0.02803838740656669,0.28095808383233534,0.06850299401197604,0.6505389221556886,0.34946107784431135
5,0.16510077030012826,0.34750244061178004,0.07940123657663521,0.5730963228115847,0.4269036771884152
6,0.28811373847404015,0.37332463112747954,0.07843640008391413,0.5482389687886063,0.45176103121139366
7,0.3650967408312794,0.47811051431094104,0.08119343683319843,0.4406960488558605,0.5593039511441396
8,0.14561828841594865,0.4629433196513398,0.08213808052391275,0.45491859982474747,0.5450814001752525
