End,Frequency %,Win %,Draw %,Loss %,Win + Draw %
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.006391016057427844,0.4107142857142857,0.0625,0.5267857142857143,0.4732142857142857
4,0.02715040571539436,0.41151744430432957,0.07524169819251786,0.5132408575031526,0.48675914249684743
5,0.16896248701824865,0.48328267477203646,0.08139142181695373,0.4353259034110098,0.5646740965889903
6,0.38134964564098467,0.5272482418075715,0.07718090677839294,0.39557085141403564,0.6044291485859644
7,0.2717665453134451,0.542644773863016,0.0763448536513669,0.3810103724856171,0.6189896275143829
8,0.1443799002544994,0.400363607619951,0.07398624614654968,0.5256501462334994,0.4743498537665007
