End,Frequency %,Win %,Draw %,Loss %,Win + Draw %
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.00838813582069521,0.264,0.096,0.64,0.36
4,0.027378875318749163,0.2916666666666667,0.056372549019607844,0.6519607843137255,0.3480392156862745
5,0.16447456717219167,0.3574051407588739,0.06854345165238677,0.5740514075887393,0.4259485924112607
6,0.28734398067373507,0.374591312470808,0.07893507706679122,0.5464736104624007,0.4535263895375993
7,0.3635753590122131,0.46622369878183834,0.08877814691768181,0.4449981543004799,0.5550018456995202
8,0.14883908200241577,0.4792605951307484,0.07799819657348964,0.44274120829576197,0.5572587917042381
